,GOterm
klf2,GO:0034505
klf2,GO:0034505
cited2,GO:0034505
cited2,GO:0034505
nod1,GO:0034505
prg3,GO:0034505
rack1,GO:0034505
basp1,GO:0034505
basp1,GO:0034505
yap1,GO:0034505
yap1,GO:0034505
prmt5,GO:0034505
rbm14,GO:0034505
ppie,GO:0034505
hax1,GO:0034505
mad2l2,GO:0034505
mad2l2,GO:0034505
fst,GO:0034505
zbtb18,GO:0034505
tada3,GO:0034505
trim38,GO:0034505
hoxb13,GO:0034505
c1orf61,GO:0034505
creb3,GO:0034505
creb3,GO:0034505
syncrip,GO:0034505
syncrip,GO:0034505
sema4d,GO:0034505
cib1,GO:0034505
ddx17,GO:0034505
ddx17,GO:0034505
deaf1,GO:0034505
kat5,GO:0034505
kat5,GO:0034505
atg7,GO:0034505
arfgef1,GO:0034505
cct7,GO:0034505
cct4,GO:0034505
cct2,GO:0034505
ern2,GO:0034505
usp16,GO:0034505
st6galnac2,GO:0034505
erlin1,GO:0034505
hexim1,GO:0034505
rbck1,GO:0034505
polr3g,GO:0034505
trim16,GO:0034505
igf2bp1,GO:0034505
khdrbs1,GO:0034505
klf1,GO:0034505
klf1,GO:0034505
ctcf,GO:0034505
ctcf,GO:0034505
fars2,GO:0034505
b3gnt2,GO:0034505
cct8,GO:0034505
cers1,GO:0034505
nfat5,GO:0034505
ptges3,GO:0034505
ptges3,GO:0034505
tcfl5,GO:0034505
stag2,GO:0034505
rai1,GO:0034505
map3k2,GO:0034505
znf268,GO:0034505
znf268,GO:0034505
ruvbl2,GO:0034505
arid5a,GO:0034505
ppargc1a,GO:0034505
malt1,GO:0034505
tcerg1,GO:0034505
ehmt2,GO:0034505
ehmt2,GO:0034505
sub1,GO:0034505
spin1,GO:0034505
prdx3,GO:0034505
mllt11,GO:0034505
ywhaq,GO:0034505
adirf,GO:0034505
cops5,GO:0034505
lilrb4,GO:0034505
ccdc85b,GO:0034505
atf7,GO:0034505
ripk3,GO:0034505
b4gat1,GO:0034505
mid2,GO:0034505
adrm1,GO:0034505
wwp2,GO:0034505
tmem115,GO:0034505
trim31,GO:0034505
prdm5,GO:0034505
faf1,GO:0034505
kat7,GO:0034505
kat7,GO:0034505
ptp4a3,GO:0034505
erlin2,GO:0034505
baz1a,GO:0034505
chek2,GO:0034505
chek2,GO:0034505
irak3,GO:0034505
ddx20,GO:0034505
rnf139,GO:0034505
padi2,GO:0034505
zhx1,GO:0034505
chp1,GO:0034505
snf8,GO:0034505
klf12,GO:0034505
klf8,GO:0034505
pnkp,GO:0034505
b4galt7,GO:0034505
park7,GO:0034505
park7,GO:0034505
ecd,GO:0034505
phb2,GO:0034505
phb2,GO:0034505
cbx3,GO:0034505
cbx3,GO:0034505
atf5,GO:0034505
cpeb3,GO:0034505
chsy1,GO:0034505
mlxip,GO:0034505
mlxip,GO:0034505
zhx2,GO:0034505
foxj3,GO:0034505
zbtb1,GO:0034505
zbtb1,GO:0034505
znf365,GO:0034505
bahd1,GO:0034505
card8,GO:0034505
sbno2,GO:0034505
ncbp2,GO:0034505
atf6,GO:0034505
habp4,GO:0034505
rab3gap1,GO:0034505
sirt2,GO:0034505
sirt2,GO:0034505
ell2,GO:0034505
scap,GO:0034505
snw1,GO:0034505
dkk1,GO:0034505
kin,GO:0034505
cct5,GO:0034505
trim32,GO:0034505
paxip1,GO:0034505
tcf25,GO:0034505
spen,GO:0034505
cnot1,GO:0034505
kdm1a,GO:0034505
kdm1a,GO:0034505
samd4a,GO:0034505
zhx3,GO:0034505
ncoa6,GO:0034505
wapl,GO:0034505
setx,GO:0034505
rrp1b,GO:0034505
kdm4c,GO:0034505
znf423,GO:0034505
mrps27,GO:0034505
camta2,GO:0034505
phf8,GO:0034505
phf8,GO:0034505
wdr43,GO:0034505
rtf1,GO:0034505
pask,GO:0034505
larp4b,GO:0034505
rcor1,GO:0034505
sulf1,GO:0034505
pds5a,GO:0034505
pofut2,GO:0034505
wwc1,GO:0034505
fbxw11,GO:0034505
atmin,GO:0034505
cux2,GO:0034505
usp22,GO:0034505
larp1,GO:0034505
pum2,GO:0034505
crtc1,GO:0034505
ufl1,GO:0034505
rrp8,GO:0034505
rrp8,GO:0034505
ice1,GO:0034505
zdhhc17,GO:0034505
lars2,GO:0034505
sirt1,GO:0034505
sirt1,GO:0034505
zfpm2,GO:0034505
rybp,GO:0034505
rhoq,GO:0034505
hars2,GO:0034505
atp1b4,GO:0034505
hey1,GO:0034505
hey1,GO:0034505
cbx6,GO:0034505
cbx5,GO:0034505
cbx5,GO:0034505
brd4,GO:0034505
brd4,GO:0034505
cbx7,GO:0034505
hey2,GO:0034505
hey2,GO:0034505
pofut1,GO:0034505
rpl13a,GO:0034505
rpl13a,GO:0034505
kat6b,GO:0034505
znf281,GO:0034505
znf281,GO:0034505
prame,GO:0034505
rbfox2,GO:0034505
wbp2,GO:0034505
gtpbp4,GO:0034505
ddx58,GO:0034505
lemd3,GO:0034505
zmynd8,GO:0034505
nup62,GO:0034505
ppp1r15a,GO:0034505
eid1,GO:0034505
maff,GO:0034505
prpf6,GO:0034505
cby1,GO:0034505
rab3gap2,GO:0034505
spdef,GO:0034505
bambi,GO:0034505
prdx5,GO:0034505
bace2,GO:0034505
pou2f3,GO:0034505
nipbl,GO:0034505
brms1,GO:0034505
prkd2,GO:0034505
prkd2,GO:0034505
rpl36,GO:0034505
pot1,GO:0034505
pot1,GO:0034505
zdhhc5,GO:0034505
nol11,GO:0034505
sostdc1,GO:0034505
gemin5,GO:0034505
sin3a,GO:0034505
rwdd3,GO:0034505
kank2,GO:0034505
hinfp,GO:0034505
hinfp,GO:0034505
clip3,GO:0034505
l3mbtl1,GO:0034505
l3mbtl1,GO:0034505
glce,GO:0034505
znf451,GO:0034505
chd5,GO:0034505
auts2,GO:0034505
ankrd17,GO:0034505
gigyf2,GO:0034505
gigyf2,GO:0034505
edrf1,GO:0034505
znf658,GO:0034505
noc2l,GO:0034505
mtg2,GO:0034505
b3gat3,GO:0034505
b3gat3,GO:0034505
nkx2-8,GO:0034505
fbxo4,GO:0034505
tinf2,GO:0034505
ankrd2,GO:0034505
mycbp,GO:0034505
ehf,GO:0034505
gnl3,GO:0034505
heyl,GO:0034505
ago1,GO:0034505
ago1,GO:0034505
aatf,GO:0034505
dux1,GO:0034505
grem1,GO:0034505
grem1,GO:0034505
elp4,GO:0034505
nufip1,GO:0034505
akap8l,GO:0034505
dnajc2,GO:0034505
foxd3,GO:0034505
pelp1,GO:0034505
ankrd1,GO:0034505
foxp1,GO:0034505
foxp1,GO:0034505
dkk3,GO:0034505
stk36,GO:0034505
ago2,GO:0034505
ago2,GO:0034505
pdcd4,GO:0034505
ventx,GO:0034505
crcp,GO:0034505
bmp10,GO:0034505
rbmx,GO:0034505
tox3,GO:0034505
tnrc6a,GO:0034505
tnrc6a,GO:0034505
eif3k,GO:0034505
poll,GO:0034505
ccdc22,GO:0034505
coa3,GO:0034505
rgcc,GO:0034505
mcts1,GO:0034505
hipk2,GO:0034505
klf15,GO:0034505
atad2,GO:0034505
c1galt1c1,GO:0034505
setd2,GO:0034505
med4,GO:0034505
ssu72,GO:0034505
pycard,GO:0034505
pycard,GO:0034505
pycard,GO:0034505
fhod1,GO:0034505
fhod1,GO:0034505
tbk1,GO:0034505
brd7,GO:0034505
uhrf1,GO:0034505
zdhhc1,GO:0034505
zdhhc8,GO:0034505
grhl1,GO:0034505
grhl1,GO:0034505
cnot7,GO:0034505
alg6,GO:0034505
dse,GO:0034505
sertad3,GO:0034505
dnmt3l,GO:0034505
mdfic,GO:0034505
donson,GO:0034505
nop53,GO:0034505
tbx21,GO:0034505
rax,GO:0034505
sox8,GO:0034505
cxxc1,GO:0034505
stoml2,GO:0034505
smarcal1,GO:0034505
chst11,GO:0034505
neurog3,GO:0034505
hp1bp3,GO:0034505
foxp3,GO:0034505
foxp3,GO:0034505
tbx22,GO:0034505
sost,GO:0034505
sost,GO:0034505
mterf3,GO:0034505
ascc1,GO:0034505
st8sia3,GO:0034505
gmnn,GO:0034505
rps27l,GO:0034505
yars2,GO:0034505
ndufa13,GO:0034505
gal,GO:0034505
abhd17b,GO:0034505
zdhhc9,GO:0034505
golga7,GO:0034505
insig2,GO:0034505
chchd2,GO:0034505
a4gnt,GO:0034505
ing4,GO:0034505
lef1,GO:0034505
lef1,GO:0034505
znf639,GO:0034505
zdhhc2,GO:0034505
znf219,GO:0034505
znf219,GO:0034505
pigp,GO:0034505
paip2,GO:0034505
ier5,GO:0034505
zdhhc3,GO:0034505
wac,GO:0034505
prr16,GO:0034505
dact1,GO:0034505
crlf3,GO:0034505
znf589,GO:0034505
eif3l,GO:0034505
polk,GO:0034505
ythdf2,GO:0034505
ythdf2,GO:0034505
sfmbt1,GO:0034505
sfmbt1,GO:0034505
ube2j1,GO:0034505
triap1,GO:0034505
etv7,GO:0034505
dtl,GO:0034505
lars,GO:0034505
cxxc5,GO:0034505
sirt7,GO:0034505
sirt7,GO:0034505
sirt6,GO:0034505
pias4,GO:0034505
trim33,GO:0034505
taf9b,GO:0034505
rtraf,GO:0034505
sufu,GO:0034505
uimc1,GO:0034505
cdk12,GO:0034505
inpp5k,GO:0034505
rsf1,GO:0034505
bcl11a,GO:0034505
trim34,GO:0034505
ripk4,GO:0034505
tlr9,GO:0034505
dpm3,GO:0034505
sox18,GO:0034505
wnt4,GO:0034505
wnt4,GO:0034505
terf2ip,GO:0034505
etaa1,GO:0034505
gnl3l,GO:0034505
egln1,GO:0034505
ino80,GO:0034505
paf1,GO:0034505
mphosph8,GO:0034505
trim44,GO:0034505
rnf111,GO:0034505
tet2,GO:0034505
tet2,GO:0034505
gatad2a,GO:0034505
bcas3,GO:0034505
ankrd49,GO:0034505
pigg,GO:0034505
bcor,GO:0034505
bcor,GO:0034505
casz1,GO:0034505
ythdf1,GO:0034505
ythdf1,GO:0034505
chchd3,GO:0034505
trmt10c,GO:0034505
pinx1,GO:0034505
pinx1,GO:0034505
tesc,GO:0034505
rmnd1,GO:0034505
pih1d1,GO:0034505
pid1,GO:0034505
phip,GO:0034505
usp47,GO:0034505
ptcd3,GO:0034505
rnf31,GO:0034505
heatr1,GO:0034505
wrap53,GO:0034505
wrap53,GO:0034505
elp3,GO:0034505
thap1,GO:0034505
thap1,GO:0034505
dars2,GO:0034505
rfwd3,GO:0034505
prmt6,GO:0034505
rprd1a,GO:0034505
bbs7,GO:0034505
trim62,GO:0034505
nat10,GO:0034505
ogfod1,GO:0034505
uqcc1,GO:0034505
asxl2,GO:0034505
tmem100,GO:0034505
qrsl1,GO:0034505
brf2,GO:0034505
fbxw7,GO:0034505
larp6,GO:0034505
csgalnact2,GO:0034505
chst12,GO:0034505
h2afy2,GO:0034505
batf3,GO:0034505
maml3,GO:0034505
galnt10,GO:0034505
tasp1,GO:0034505
pomgnt1,GO:0034505
pomgnt1,GO:0034505
zdhhc7,GO:0034505
zdhhc7,GO:0034505
depdc1,GO:0034505
lyar,GO:0034505
pigv,GO:0034505
znf692,GO:0034505
hif1an,GO:0034505
yeats2,GO:0034505
atf7ip,GO:0034505
cdk5rap2,GO:0034505
csgalnact1,GO:0034505
pcid2,GO:0034505
il26,GO:0034505
trerf1,GO:0034505
foxj2,GO:0034505
kdm3a,GO:0034505
eapp,GO:0034505
eaf2,GO:0034505
wwc3,GO:0034505
tmem165,GO:0034505
bex1,GO:0034505
mesp1,GO:0034505
kmt2e,GO:0034505
erbin,GO:0034505
lancl2,GO:0034505
nkrf,GO:0034505
dmap1,GO:0034505
pdgfc,GO:0034505
alg1,GO:0034505
rnf20,GO:0034505
mettl3,GO:0034505
chst7,GO:0034505
twnk,GO:0034505
ifnk,GO:0034505
tceal7,GO:0034505
tcim,GO:0034505
wrnip1,GO:0034505
dhx33,GO:0034505
arntl2,GO:0034505
dusp22,GO:0034505
eny2,GO:0034505
xab2,GO:0034505
smyd2,GO:0034505
otud7b,GO:0034505
rgma,GO:0034505
atxn7l3,GO:0034505
poglut1,GO:0034505
poglut1,GO:0034505
ctnnbip1,GO:0034505
camk1d,GO:0034505
smurf1,GO:0034505
zmiz1,GO:0034505
thap11,GO:0034505
cbx8,GO:0034505
znf304,GO:0034505
znf304,GO:0034505
aicda,GO:0034505
tmigd3,GO:0034505
galnt16,GO:0034505
mkl2,GO:0034505
mta3,GO:0034505
aars2,GO:0034505
mavs,GO:0034505
rptor,GO:0034505
mkl1,GO:0034505
fnip2,GO:0034505
tshz3,GO:0034505
zbtb2,GO:0034505
phf12,GO:0034505
calcoco1,GO:0034505
zbtb4,GO:0034505
bend3,GO:0034505
bend3,GO:0034505
chd8,GO:0034505
chd8,GO:0034505
usp37,GO:0034505
fancm,GO:0034505
mier1,GO:0034505
trib3,GO:0034505
trib3,GO:0034505
ccar2,GO:0034505
ccar2,GO:0034505
grhl3,GO:0034505
nfe4,GO:0034505
nfe4,GO:0034505
ctdsp1,GO:0034505
tp53inp2,GO:0034505
nlrc4,GO:0034505
crebzf,GO:0034505
crebzf,GO:0034505
abhd17c,GO:0034505
rprd1b,GO:0034505
rprd1b,GO:0034505
cactin,GO:0034505
selenok,GO:0034505
wiz,GO:0034505
snx6,GO:0034505
hivep3,GO:0034505
sigirr,GO:0034505
znf350,GO:0034505
eda2r,GO:0034505
tgif2,GO:0034505
nif3l1,GO:0034505
ube2o,GO:0034505
nsun3,GO:0034505
fam111a,GO:0034505
gpatch3,GO:0034505
galnt11,GO:0034505
chtf18,GO:0034505
chp2,GO:0034505
necab3,GO:0034505
prdm16,GO:0034505
tspyl2,GO:0034505
golph3,GO:0034505
nod2,GO:0034505
nod2,GO:0034505
xylt2,GO:0034505
irf2bpl,GO:0034505
mms19,GO:0034505
tfb2m,GO:0034505
papd5,GO:0034505
rnf25,GO:0034505
sox17,GO:0034505
nsd1,GO:0034505
ikzf5,GO:0034505
chst8,GO:0034505
klhl25,GO:0034505
gzf1,GO:0034505
gzf1,GO:0034505
suds3,GO:0034505
zdhhc6,GO:0034505
cpeb1,GO:0034505
nucks1,GO:0034505
nucks1,GO:0034505
creb3l2,GO:0034505
ippk,GO:0034505
fam129b,GO:0034505
bcl11b,GO:0034505
mrpl41,GO:0034505
acd,GO:0034505
acd,GO:0034505
mrpl44,GO:0034505
upf3b,GO:0034505
upf3a,GO:0034505
caprin2,GO:0034505
ddrgk1,GO:0034505
mrps34,GO:0034505
boll,GO:0034505
dusp26,GO:0034505
alg8,GO:0034505
fastkd3,GO:0034505
dscc1,GO:0034505
dscc1,GO:0034505
alg12,GO:0034505
card14,GO:0034505
fkrp,GO:0034505
tnip2,GO:0034505
fbxl15,GO:0034505
irx1,GO:0034505
zxdc,GO:0034505
zxdc,GO:0034505
bhlhe41,GO:0034505
b3gnt4,GO:0034505
pagr1,GO:0034505
nkap,GO:0034505
cdc73,GO:0034505
cdc73,GO:0034505
sap130,GO:0034505
hmbox1,GO:0034505
hmbox1,GO:0034505
srd5a3,GO:0034505
mcph1,GO:0034505
bend5,GO:0034505
ice2,GO:0034505
zdhhc14,GO:0034505
tbl1xr1,GO:0034505
suv39h2,GO:0034505
lin28a,GO:0034505
e2f8,GO:0034505
e2f8,GO:0034505
tefm,GO:0034505
znf750,GO:0034505
znf750,GO:0034505
carf,GO:0034505
ttc21b,GO:0034505
kdm8,GO:0034505
rpap2,GO:0034505
mcmbp,GO:0034505
setd6,GO:0034505
nanog,GO:0034505
grhl2,GO:0034505
grhl2,GO:0034505
stn1,GO:0034505
wwc2,GO:0034505
pif1,GO:0034505
znf703,GO:0034505
znf703,GO:0034505
zc3h12a,GO:0034505
naa15,GO:0034505
ctc1,GO:0034505
dbf4b,GO:0034505
cep290,GO:0034505
pigz,GO:0034505
ell3,GO:0034505
ell3,GO:0034505
cdk5rap3,GO:0034505
tet1,GO:0034505
epc1,GO:0034505
zkscan3,GO:0034505
wdr61,GO:0034505
akna,GO:0034505
esx1,GO:0034505
thap7,GO:0034505
trim8,GO:0034505
cdt1,GO:0034505
med25,GO:0034505
med25,GO:0034505
abhd17a,GO:0034505
znf93,GO:0034505
scrt1,GO:0034505
cog3,GO:0034505
sox7,GO:0034505
bcl2l12,GO:0034505
zmiz2,GO:0034505
parp9,GO:0034505
sesn2,GO:0034505
grwd1,GO:0034505
taf3,GO:0034505
sprtn,GO:0034505
sprtn,GO:0034505
hdac10,GO:0034505
eif2a,GO:0034505
brip1,GO:0034505
magt1,GO:0034505
zranb3,GO:0034505
pcbd2,GO:0034505
pcgf6,GO:0034505
wdr75,GO:0034505
utp15,GO:0034505
kat8,GO:0034505
kat8,GO:0034505
arid5b,GO:0034505
ascc2,GO:0034505
nlrc5,GO:0034505
sla2,GO:0034505
chd6,GO:0034505
pomk,GO:0034505
maf1,GO:0034505
zdhhc18,GO:0034505
polr3gl,GO:0034505
rpain,GO:0034505
poldip3,GO:0034505
slc25a33,GO:0034505
zdhhc16,GO:0034505
ing5,GO:0034505
phf6,GO:0034505
uqcc2,GO:0034505
pym1,GO:0034505
pcgf5,GO:0034505
gfm2,GO:0034505
card11,GO:0034505
maml2,GO:0034505
dot1l,GO:0034505
syvn1,GO:0034505
zc3h8,GO:0034505
zc3h8,GO:0034505
zgpat,GO:0034505
afap1l2,GO:0034505
ccdc62,GO:0034505
ccdc62,GO:0034505
loxl3,GO:0034505
creb3l3,GO:0034505
creb3l3,GO:0034505
cbx2,GO:0034505
mpv17l2,GO:0034505
abhd14b,GO:0034505
rax2,GO:0034505
trim52,GO:0034505
havcr2,GO:0034505
zc3h10,GO:0034505
parp10,GO:0034505
zdhhc12,GO:0034505
pomgnt2,GO:0034505
fbh1,GO:0034505
tbrg1,GO:0034505
atoh8,GO:0034505
utp4,GO:0034505
ajuba,GO:0034505
tox2,GO:0034505
pigy,GO:0034505
trim5,GO:0034505
helz2,GO:0034505
unk,GO:0034505
gfm1,GO:0034505
wnt3a,GO:0034505
ppp1r3f,GO:0034505
trim15,GO:0034505
trim15,GO:0034505
lhx4,GO:0034505
otulin,GO:0034505
otulin,GO:0034505
ticrr,GO:0034505
med30,GO:0034505
linc00473,GO:0034505
znf598,GO:0034505
znf598,GO:0034505
derl3,GO:0034505
nlrp12,GO:0034505
cog7,GO:0034505
znf300,GO:0034505
mtdh,GO:0034505
mtg1,GO:0034505
naf1,GO:0034505
pxylp1,GO:0034505
fank1,GO:0034505
mgme1,GO:0034505
dph7,GO:0034505
helb,GO:0034505
helb,GO:0034505
mars2,GO:0034505
myocd,GO:0034505
foxp2,GO:0034505
tp53inp1,GO:0034505
fnip1,GO:0034505
gtf3c6,GO:0034505
glmp,GO:0034505
nacc1,GO:0034505
larp4,GO:0034505
nlrp3,GO:0034505
nlrp3,GO:0034505
tirap,GO:0034505
card16,GO:0034505
esco1,GO:0034505
mysm1,GO:0034505
galnt13,GO:0034505
malsu1,GO:0034505
sfr1,GO:0034505
large2,GO:0034505
rhebl1,GO:0034505
sp7,GO:0034505
leo1,GO:0034505
ears2,GO:0034505
mettl23,GO:0034505
cant1,GO:0034505
hexim2,GO:0034505
eid2b,GO:0034505
wtip,GO:0034505
gabpb2,GO:0034505
pigu,GO:0034505
pigu,GO:0034505
taf8,GO:0034505
trim71,GO:0034505
cpeb2,GO:0034505
ppargc1b,GO:0034505
ncoa7,GO:0034505
trim40,GO:0034505
nobox,GO:0034505
klf14,GO:0034505
klf14,GO:0034505
nkx2-6,GO:0034505
nacc2,GO:0034505
taf1l,GO:0034505
pasd1,GO:0034505
tcp10l,GO:0034505
nek7,GO:0034505
gata5,GO:0034505
ctcfl,GO:0034505
spindoc,GO:0034505
spty2d1,GO:0034505
prickle1,GO:0034505
bcdin3d,GO:0034505
alg10b,GO:0034505
e2f7,GO:0034505
e2f7,GO:0034505
cdan1,GO:0034505
zfp90,GO:0034505
creb3l4,GO:0034505
hjv,GO:0034505
hjv,GO:0034505
b3galnt2,GO:0034505
b3galnt2,GO:0034505
rnf187,GO:0034505
pyhin1,GO:0034505
commd7,GO:0034505
nfam1,GO:0034505
commd1,GO:0034505
commd1,GO:0034505
gdf7,GO:0034505
xxylt1,GO:0034505
pydc2,GO:0034505
dab2ip,GO:0034505
dab2ip,GO:0034505
crebrf,GO:0034505
irx2,GO:0034505
znf425,GO:0034505
znf746,GO:0034505
esco2,GO:0034505
nkx6-3,GO:0034505
zdhhc15,GO:0034505
or7d2,GO:0034505
eid2,GO:0034505
znf540,GO:0034505
znf540,GO:0034505
tmprss6,GO:0034505
parp15,GO:0034505
rnf168,GO:0034505
chst13,GO:0034505
zbtb49,GO:0034505
dcp2,GO:0034505
znf366,GO:0034505
commd6,GO:0034505
znf675,GO:0034505
polr3h,GO:0034505
ago3,GO:0034505
ago4,GO:0034505
sdr16c5,GO:0034505
znf367,GO:0034505
nlrc3,GO:0034505
faap20,GO:0034505
krtcap2,GO:0034505
tet3,GO:0034505
flcn,GO:0034505
flcn,GO:0034505
cenpx,GO:0034505
stt3b,GO:0034505
primpol,GO:0034505
mtif3,GO:0034505
gsx1,GO:0034505
stox1,GO:0034505
jazf1,GO:0034505
hs3st5,GO:0034505
rfx6,GO:0034505
rfx6,GO:0034505
mapk15,GO:0034505
mapk15,GO:0034505
zbtb38,GO:0034505
zbtb38,GO:0034505
mms22l,GO:0034505
ebf3,GO:0034505
zdhhc20,GO:0034505
ythdf3,GO:0034505
ythdf3,GO:0034505
zdhhc23,GO:0034505
svip,GO:0034505
bod1l1,GO:0034505
pydc1,GO:0034505
magea2b,GO:0034505
npas4,GO:0034505
ifnl1,GO:0034505
bcl9l,GO:0034505
slc39a5,GO:0034505
gatc,GO:0034505
gxylt1,GO:0034505
zdhhc22,GO:0034505
tssk4,GO:0034505
cavin1,GO:0034505
kctd1,GO:0034505
znf326,GO:0034505
c3orf33,GO:0034505
nlrp2b,GO:0034505
rab7b,GO:0034505
enpp7,GO:0034505
nanos2,GO:0034505
tmem173,GO:0034505
fam170a,GO:0034505
zdhhc21,GO:0034505
zdhhc21,GO:0034505
acer2,GO:0034505
nanos1,GO:0034505
nanos3,GO:0034505
irgm,GO:0034505
macc1,GO:0034505
poln,GO:0034505
poln,GO:0034505
hils1,GO:0034505
dnd1,GO:0034505
galnt18,GO:0034505
b3gnt8,GO:0034505
cenps,GO:0034505
kmt5a,GO:0034505
kmt5a,GO:0034505
nupr2,GO:0034505
skor1,GO:0034505
gdf6,GO:0034505
paip2b,GO:0034505
syt14p1,GO:0034505
yy2,GO:0034505
mirlet7a1,GO:0034505
mirlet7a2,GO:0034505
mirlet7a3,GO:0034505
mirlet7b,GO:0034505
mirlet7c,GO:0034505
mirlet7e,GO:0034505
mirlet7f1,GO:0034505
mirlet7f2,GO:0034505
mirlet7g,GO:0034505
mirlet7i,GO:0034505
mirlet7i,GO:0034505
mir101-1,GO:0034505
mir101-2,GO:0034505
mir103a1,GO:0034505
mir103a2,GO:0034505
mir105-1,GO:0034505
mir105-2,GO:0034505
mir106a,GO:0034505
mir106b,GO:0034505
mir107,GO:0034505
mir10a,GO:0034505
mir10b,GO:0034505
mir1-1,GO:0034505
mir1-1,GO:0034505
mir1-2,GO:0034505
mir1-2,GO:0034505
mir124-1,GO:0034505
mir124-2,GO:0034505
mir124-3,GO:0034505
mir125a,GO:0034505
mir125b1,GO:0034505
mir125b2,GO:0034505
mir126,GO:0034505
mir128-1,GO:0034505
mir128-2,GO:0034505
mir129-1,GO:0034505
mir129-2,GO:0034505
mir130a,GO:0034505
mir130b,GO:0034505
mir132,GO:0034505
mir132,GO:0034505
mir133a1,GO:0034505
mir133a1,GO:0034505
mir133a2,GO:0034505
mir133a2,GO:0034505
mir134,GO:0034505
mir137,GO:0034505
mir138-1,GO:0034505
mir138-2,GO:0034505
mir140,GO:0034505
mir140,GO:0034505
mir141,GO:0034505
mir141,GO:0034505
mir143,GO:0034505
mir145,GO:0034505
mir146a,GO:0034505
mir148a,GO:0034505
mir150,GO:0034505
mir152,GO:0034505
mir153-1,GO:0034505
mir153-2,GO:0034505
mir155,GO:0034505
mir155,GO:0034505
mir15a,GO:0034505
mir15b,GO:0034505
mir16-1,GO:0034505
mir16-2,GO:0034505
mir17,GO:0034505
mir17,GO:0034505
mir18a,GO:0034505
mir181a2,GO:0034505
mir181a2,GO:0034505
mir181b1,GO:0034505
mir181b1,GO:0034505
mir181b2,GO:0034505
mir181b2,GO:0034505
mir185,GO:0034505
mir188,GO:0034505
mir191,GO:0034505
mir193a,GO:0034505
mir196a1,GO:0034505
mir196a2,GO:0034505
mir199a1,GO:0034505
mir199a2,GO:0034505
mir199b,GO:0034505
mir19a,GO:0034505
mir19b1,GO:0034505
mir19b2,GO:0034505
mir20a,GO:0034505
mir20a,GO:0034505
mir200a,GO:0034505
mir200b,GO:0034505
mir200b,GO:0034505
mir200c,GO:0034505
mir204,GO:0034505
mir206,GO:0034505
mir208a,GO:0034505
mir21,GO:0034505
mir21,GO:0034505
mir210,GO:0034505
mir212,GO:0034505
mir181a1,GO:0034505
mir181a1,GO:0034505
mir214,GO:0034505
mir214,GO:0034505
mir217,GO:0034505
mir218-1,GO:0034505
mir218-2,GO:0034505
mir219a1,GO:0034505
mir219a2,GO:0034505
mir22,GO:0034505
mir221,GO:0034505
mir221,GO:0034505
mir222,GO:0034505
mir222,GO:0034505
mir224,GO:0034505
mir23a,GO:0034505
mir23b,GO:0034505
mir24-1,GO:0034505
mir24-1,GO:0034505
mir24-2,GO:0034505
mir24-2,GO:0034505
mir25,GO:0034505
mir26a1,GO:0034505
mir26a2,GO:0034505
mir27a,GO:0034505
mir27b,GO:0034505
mir28,GO:0034505
mir29a,GO:0034505
mir296,GO:0034505
mir299,GO:0034505
mir29b1,GO:0034505
mir29b1,GO:0034505
mir29b2,GO:0034505
mir29b2,GO:0034505
mir29c,GO:0034505
mir30a,GO:0034505
mir30a,GO:0034505
mir30b,GO:0034505
mir30b,GO:0034505
mir30c1,GO:0034505
mir30c2,GO:0034505
mir30e,GO:0034505
mir31,GO:0034505
mir32,GO:0034505
mir320a,GO:0034505
mir34a,GO:0034505
mir7-1,GO:0034505
mir7-2,GO:0034505
mir7-3,GO:0034505
mir92a1,GO:0034505
mir92a1,GO:0034505
mir92a2,GO:0034505
mir92a2,GO:0034505
mir93,GO:0034505
mir96,GO:0034505
mir17hg,GO:0034505
eif2ak4,GO:0034505
galntl6,GO:0034505
mir133b,GO:0034505
mir135b,GO:0034505
mir148b,GO:0034505
mir328,GO:0034505
mir342,GO:0034505
mir345,GO:0034505
mir372,GO:0034505
mir361,GO:0034505
mir378a,GO:0034505
mir423,GO:0034505
mir424,GO:0034505
mir425,GO:0034505
dhfrp1,GO:0034505
mir363,GO:0034505
mir20b,GO:0034505
mir18b,GO:0034505
mir329-1,GO:0034505
mir329-2,GO:0034505
mir409,GO:0034505
mir410,GO:0034505
mir146b,GO:0034505
mir492,GO:0034505
mir494,GO:0034505
mir495,GO:0034505
mir497,GO:0034505
mir181d,GO:0034505
mir181d,GO:0034505
mir515-1,GO:0034505
mir519e,GO:0034505
mir515-2,GO:0034505
mir520a,GO:0034505
mir519b,GO:0034505
mir520b,GO:0034505
mir518b,GO:0034505
mir526a1,GO:0034505
mir520c,GO:0034505
mir518c,GO:0034505
mir519d,GO:0034505
mir526a2,GO:0034505
mir518a1,GO:0034505
mir518d,GO:0034505
mir518a2,GO:0034505
mir520h,GO:0034505
mir527,GO:0034505
mir499a,GO:0034505
mir503,GO:0034505
mir505,GO:0034505
mir509-1,GO:0034505
mir514a1,GO:0034505
mir514a2,GO:0034505
mir514a3,GO:0034505
mboat4,GO:0034505
mir483,GO:0034505
scx,GO:0034505
fam83g,GO:0034505
setsip,GO:0034505
ncf1,GO:0034505
mir487b,GO:0034505
mir548c,GO:0034505
mir572,GO:0034505
mir582,GO:0034505
mir590,GO:0034505
mir639,GO:0034505
