,GOterm
hmgb2,GO:0090304
paox,GO:0098501
bcl3,GO:0006578
cirbp,GO:0006578
ddx3x,GO:0006578
eef2,GO:0006578
elavl1,GO:0006578
erbb2,GO:0006578
fmr1,GO:0006578
mtor,GO:0006578
hnrnpd,GO:0006578
il6,GO:0006578
eif3e,GO:0006578
npm1,GO:0006578
rpl5,GO:0006578
rpl26,GO:0006578
rps4x,GO:0006578
rps6kb1,GO:0006578
sox4,GO:0006578
thbs1,GO:0006578
vim,GO:0006578
eif3c,GO:0006578
eif3d,GO:0006578
eif4a3,GO:0006578
samd4a,GO:0006578
larp4b,GO:0006578
rps27l,GO:0006578
prr16,GO:0006578
ythdf1,GO:0006578
larp6,GO:0006578
upf3b,GO:0006578
upf3a,GO:0006578
poldip3,GO:0006578
pym1,GO:0006578
larp4,GO:0006578
ythdf3,GO:0006578
efna1,GO:0009437
gsk3a,GO:0009437
picalm,GO:0009437
rock2,GO:0009437
gsap,GO:0009437
lrrtm3,GO:0009437
plk3,GO:0006586
prkcd,GO:0030186
prkcd,GO:0042435
prkcd,GO:0042436
agt,GO:0042728
agtr1,GO:0042728
csf1,GO:0042728
eif4g1,GO:0042728
inhba,GO:0042728
ins,GO:0042728
nfkbia,GO:0042728
tgfb1,GO:0042728
nr1h2,GO:0042728
wnt7a,GO:0042728
pla2g10,GO:0042728
klf4,GO:0042728
adipoq,GO:0042728
nr1h3,GO:0042728
uhrf1,GO:0042728
ereg,GO:0072387
hnrnpk,GO:0006518
c4bpa,GO:0006528
c4bpb,GO:0006528
cdkn1b,GO:0006528
csnk2a1,GO:0006528
ddb1,GO:0006528
foxo1,GO:0006528
nedd4,GO:0006528
nsf,GO:0006528
oaz1,GO:0006528
sorl1,GO:0006528
stx5,GO:0006528
tnf,GO:0006528
tnfaip3,GO:0006528
vcp,GO:0006528
vip,GO:0006528
rab7a,GO:0006528
axin1,GO:0006528
tnfsf12,GO:0006528
sec22b,GO:0006528
rnf41,GO:0006528
atg7,GO:0006528
plk2,GO:0006528
snf8,GO:0006528
tiparp,GO:0006528
vps28,GO:0006528
dact1,GO:0006528
dtl,GO:0006528
rilp,GO:0006528
nkd1,GO:0006528
egln2,GO:0006528
asb9,GO:0006528
klf4,GO:0006672
rock2,GO:0006684
app,GO:0006760
ass1,GO:0015939
otc,GO:0015939
hdc,GO:0019627
prg3,GO:0019627
hnmt,GO:0034248
smpd1,GO:0034249
smpd4,GO:0034249
sgms2,GO:0034250
sgms1,GO:0034250
sat2,GO:0043604
paox,GO:0043605
srm,GO:0070292
sat2,GO:0072338
paox,GO:0006576
ache,GO:0033238
slc5a7,GO:0033239
slc44a4,GO:0033239
acadm,GO:0033240
crat,GO:0033240
acadm,GO:0009822
bbox1,GO:0009822
tmlhe,GO:0009822
paox,GO:0033015
paox,GO:0042560
sat2,GO:0052805
dmgdh,GO:0072523
prkn,GO:0072526
dao,GO:0072529
gch1,GO:0072529
th,GO:0072529
dbh,GO:0006809
sult1a3,GO:0006809
hprt1,GO:0009309
chpt1,GO:0033014
apoa1,GO:0042559
apoa2,GO:0042559
chka,GO:0042559
lcat,GO:0042559
chpt1,GO:0042559
gpat4,GO:0042559
slc27a1,GO:0042559
enpp2,GO:0046512
pnpla8,GO:0046512
dbi,GO:0070409
lpcat2,GO:0070409
lpcat1,GO:0070409
kdsr,GO:0071602
sphk1,GO:0072522
sgpp2,GO:0072522
sptlc3,GO:0072525
cln6,GO:0072528
ctns,GO:0001692
g6pd,GO:0001692
gpx1,GO:0001692
gsta1,GO:0001692
gsta4,GO:0001692
gstm1,GO:0001692
gstm2,GO:0001692
gstm3,GO:0001692
gstm4,GO:0001692
gstm5,GO:0001692
gstp1,GO:0001692
gstt1,GO:0001692
gstz1,GO:0001692
nat8,GO:0001692
ethe1,GO:0001692
mmachc,GO:0001692
cln5,GO:0006547
furin,GO:0006547
pcsk5,GO:0006547
ece1,GO:0006144
furin,GO:0006144
pcsk6,GO:0006144
pcsk5,GO:0006144
pcsk2,GO:0006144
corin,GO:0006144
carnmt1,GO:0006163
dmd,GO:0042278
furin,GO:0042278
pcsk5,GO:0042278
tpp1,GO:0034032
ace,GO:0034032
lta4h,GO:0034032
cpq,GO:0034032
adamts13,GO:0034032
apeh,GO:0046415
ace,GO:0046415
ide,GO:0046415
nat8,GO:0046415
bace1,GO:0046415
nat8b,GO:0046415
lamp2,GO:0019362
ass1,GO:0042816
gatm,GO:0046874
bhmt2,GO:0070637
dio2,GO:0006206
sult1b1,GO:0006206
iyd,GO:0006206
sncaip,GO:0006213
comt,GO:0006220
st6galnac6,GO:0019857
st6galnac3,GO:0019857
sptlc2,GO:0010900
sptlc1,GO:0010900
cers1,GO:0010900
elovl1,GO:0010900
acer1,GO:0010900
sgpl1,GO:0006140
sgpl1,GO:0006140
cyp2d6,GO:0032069
apeh,GO:0051052
klk3,GO:0051052
azu1,GO:0051052
bmp1,GO:0051052
capn1,GO:0051052
capn3,GO:0051052
casp1,GO:0051052
casp3,GO:0051052
casp6,GO:0051052
casp7,GO:0051052
casp8,GO:0051052
ctsc,GO:0051052
tpp1,GO:0051052
ctsb,GO:0051052
ctsg,GO:0051052
ctsh,GO:0051052
ctsl,GO:0051052
ctss,GO:0051052
ctsz,GO:0051052
dpp4,GO:0051052
elane,GO:0051052
f9,GO:0051052
fap,GO:0051052
folh1,GO:0051052
ggt1,GO:0051052
ggt5,GO:0051052
hpn,GO:0051052
ide,GO:0051052
mme,GO:0051052
mmp1,GO:0051052
mmp2,GO:0051052
mmp3,GO:0051052
mmp7,GO:0051052
mmp8,GO:0051052
mmp9,GO:0051052
mmp12,GO:0051052
mmp12,GO:0051052
mmp14,GO:0051052
mmp16,GO:0051052
pcsk2,GO:0051052
phex,GO:0051052
pip,GO:0051052
plg,GO:0051052
plg,GO:0051052
ctsa,GO:0051052
prss2,GO:0051052
prss3,GO:0051052
prtn3,GO:0051052
prtn3,GO:0051052
psmb5,GO:0051052
ren,GO:0051052
st14,GO:0051052
adam17,GO:0051052
